data;pluviometria;residuo IIA;residuo IIB;vazao chorume;residuo chorume;tratamento externo chorume;tratamento interno chorume;fonte chorume aterro;fonte chorume chuva;fonte chorume lixão;lagoa media medição;lagoa media reserva;lagoa media capacidade;antiincrustante;Biocida;Carvão;NaCl;Óxido de Cálcio;PAC;Zeolia ZS 0.4x1;Zeolia ZN 3x8;Zeolia ZS 3x8;Cartucho  5x30;Cartucho 5x40;Cartucho 10;Ácido Cítrico;Membrana;Polímero;Reagente Nitro Amoniacal;Soda;Reagente DQO;Massa Resíduos;Volume Resíduos;Massa Específica; OPEX ;Areia Industrial;Brita;Pedra;Pedra 2;Rachão;Hora Tratores;Comcustível Tratores;Resíduos Tratores;Horas Escavadeira;Combustível Escavadeira;Resíduos Escavadeira
set-18;45,00;28061,00;21945,00;9238,00;28016,00;;;;;;;;;;;;;;29588,00;;;;;;;;;152,00;;;;;;;;;;;;;;;;;;
out-18;3,00;30127,00;21099,00;8720,00;30095,00;;;;;;;;;;;;;;25731,00;;;;;;;;;111,00;;;;;;;;;;;;;;;;;;
nov-18;36,00;28828,00;12744,00;808,00;41785,00;;;;;;;;;;;;;;12548,00;;;;;;;;;55,00;;;;;;;;;;;;;;;;;;
dez-18;47,00;32332,00;6069,00;6714,00;38542,00;;;;;;;;;;;;;;8575,00;;;;;;;;;85,00;;434,00;;;;;;;;;;;;;;;;
jan-19;195,00;32126,00;15584,00;8303,00;32090,00;2483,00;3202,00;8303,00;3747,00;;;;;116,00;55,00;2200,00;;;6602,00;;4000,00;;28,00;;;30,00;0,00;137,00;;754,00;2,00;;;;;;;;;;;;;;;
fev-19;93,00;28437,00;17245,00;8530,00;28418,00;3340,00;2317,00;8531,00;1779,00;;;;;83,00;105,00;;;;9078,00;;;;;;;37,00;;139,00;0,50;1725,00;5,00;;;;;;;;;;;;;;;
mar-19;154,00;28985,00;22510,00;9573,00;29004,00;3790,00;2991,00;9573,00;2963,00;;;;;123,00;131,00;;;;10043,00;;2100,00;;;;;47,00;;91,00;1,00;1126,00;4,00;;;;;;;;;;;;;;;
abr-19;105,00;32855,00;25039,00;9608,00;32889,00;5622,00;2694,00;9608,00;2018,00;3281,00;;;;125,00;141,00;;;;12731,00;;;;;;;14,00;;132,00;;608,00;5,00;;;;;;;;;;;;;;;
mai-19;187,00;36184,00;30328,00;8116,00;36172,00;3597,00;3528,00;8116,00;3601,00;2774,00;;;;124,00;122,00;;;;24194,00;;;;;;;8,00;;393,00;1,00;175,00;3,00;36172,00;;;;;;;;;;;;;;
jun-19;283,00;30277,00;24743,00;11718,00;30301,00;3261,00;3737,00;11718,00;5434,00;120,00;;;;109,00;112,00;1600,00;;;23979,00;;;;;;;3,00;18,00;235,00;;31,00;4,00;28810,00;;;;;;;;;;;;;;
jul-19;278,00;32143,00;22782,00;14195,00;32126,00;4529,00;5113,00;14195,00;5342,00;1546,00;;;;72,00;125,00;600,00;;;25375,00;;;;;;;15,00;;217,00;;61,00;5,00;28251,00;;;;;;;;;;;;;;
ago-19;184,00;31872,00;26596,00;12707,00;31789,00;8728,00;5061,00;12707,00;3536,00;1628,00;;;;153,00;134,00;;;;28039,00;;2775,00;;;;;13,00;;229,00;5,00;39,00;0,00;28658,00;24075,00;1,19;;;;;;;;;;;;
set-19;105,00;29150,00;22131,00;9677,00;29165,00;15376,00;5152,00;9677,00;2008,00;2008,00;;;;28,00;210,00;;;;21443,00;;;;;;;14,00;;224,00;1,00;24,00;2,00;35651,00;31024,00;1,15;;;;;;;;;;;;
out-19;5,00;31752,00;25103,00;9277,00;31747,00;6525,00;6116,00;9277,00;96,07;;;;;192,00;364,00;;;;26447,00;;;1800,00;;;;16,00;;206,00;1,00;111,00;2,00;34846,00;;;;;;;;;;;;;;
nov-19;0,00;31629,00;23007,00;6931,00;31595,00;2865,00;4343,00;6931,00;;;;;;143,00;243,00;;;;17771,00;0,00;0,00;0,00;0,00;3,00;0,00;58,00;;286,00;1,00;719,00;;33320,00;30589,00;1,09;;;;;;;;;;;;
dez-19;14,00;34972,00;25059,00;7526,00;34961,00;1939,00;4960,00;7257,00;269,01;;;;;152,00;260,00;;;;12776,00;750,00;1125,00;;42,00;;50,00;13,00;;235,00;;1342,00;;45835,00;37045,00;1,24;;;;;;;;;;;;
jan-20;3,00;34172,00;22249,00;6748,00;34094,00;2329,00;3976,00;6714,00;34,00;;3816,00;4496,00;8312,00;81,00;108,00;1600,00;;;8832,00;;;;70,00;;;10,00;;266,00;2,00;657,00;3,00;30704,00;;;;;;;;;;;;;;
fev-20;116,00;32573,00;27489,00;7739,00;32532,00;2541,00;6861,00;6402,00;1337,00;;4240,00;4072,00;8312,00;76,00;100,00;1625,00;;;15176,00;500,00;1200,00;600,00;21,00;;;25,00;;243,00;3,00;920,00;1,00;31560,00;29019,00;1,09;;;;;;;;;;;;
mar-20;364,00;36612,00;24522,00;13133,00;36572,00;4131,00;3956,00;8877,00;4197,00;59,00;;;;69,00;69,00;;500,00;;8849,00;;;;73,00;37,00;42,00;17,00;;164,00;3,00;1263,00;2,00;31467,00;26045,00;1,21;;;;;;;;;;;;
abr-20;254,00;34051,00;16247,00;16811,00;33930,00;7131,00;6520,00;12818,00;2928,00;1065,00;4550,00;3762,00;8312,00;75,00;184,00;0,00;1950,00;;27918,00;250,00;;1500,00;146,00;3,00;158,00;23,00;;126,00;2,00;645,00;2,00;41762,00;36310,00;1,15;;;;;;;;;;;;
mai-20;317,00;33444,00;21719,00;19353,00;33404,00;11416,00;6830,00;15060,00;2739,00;2867,00;5377,00;3334,00;8312,00;75,00;75,00;;2500,00;;42223,00;350,00;;1900,00;248,00;40,00;288,00;22,00;;244,00;1,00;526,00;5,00;30840,00;26427,00;1,17;;;;;;;;;;;;
jun-20;310,00;32757,00;21230,00;26736,00;32612,00;23173,00;8004,00;19132,00;2679,00;4926,00;6176,00;1449,00;7378,00;62,00;40,00;;1000,00;1520,00;52851,00;;;;140,00;125,00;210,00;120,00;20,00;366,00;;724,00;4,00;39710,00;36451,00;1,09;;;;;;;;;;;;
jul-20;257,00;34968,00;28361,00;27026,00;35212,00;22061,00;8665,00;21535,00;2221,00;3617,00;5697,00;1828,00;6670,00;90,00;80,00;;2500,00;1592,00;61594,00;1500,00;;;252,00;17,00;266,00;141,00;;397,00;1,00;471,00;2,00;30007,00;26851,00;1,14;;;;;;;;;;;;
ago-20;128,00;33967,00;27588,00;17147,00;33901,00;11328,00;8321,00;13929,00;1106,00;2372,00;5910,00;714,00;6625,00;144,00;157,00;;1200,00;660,00;51046,00;200,00;505,00;0,00;186,00;3,00;210,00;89,00;;313,00;1,00;714,00;2,00;38828,00;39179,00;0,99;;;;;;;;;;;;
set-20;84,00;32468,00;28106,00;10773,00;32357,00;8236,00;8051,00;9688,00;726,00;1054,00;5367,00;1257,00;6625,00;337,00;325,00;1000,00;2000,00;658,00;37313,00;;;;171,00;18,00;201,00;235,00;;206,00;;805,00;1,00;29695,00;33427,00;0,89;;;;;;;;;;;;
out-20;25,00;33832,00;32214,00;8633,00;33801,00;5371,00;7935,00;8417,00;216,00;;4765,00;1860,00;6625,00;288,00;318,00;;2200,00;1088,00;45942,00;;0,00;;274,00;33,00;334,00;261,00;2,00;333,00;2,00;594,00;2,00;31339,00;;;;;;;;;;;;;;
nov-20;25,00;32288,00;31275,00;6984,00;32152,00;3443,00;7034,00;6768,00;216,00;;;;;238,00;198,00;;500,00;3280,00;41977,00;;2095,00;;267,00;18,00;259,00;90,00;;301,00;0,00;412,00;2,00;42449,00;39006,00;1,09;;;;;;;;;;;;
dez-20;36,00;36259,00;34506,00;6368,00;36136,00;1496,74;8851,00;6352,00;307,00;;;;;386,00;389,00;500,00;1025,00;3440,00;40416,00;;;;294,00;6,00;406,00;45,00;24,00;275,00;1,00;88,00;2,00;29011,00;29373,00;0,99;;;;;;;;;;;;
jan-21;80,00;33562,00;26403,00;783,00;33590,00;1563,00;8669,00;6013,00;691,00;;4101,00;2524,00;6625,00;298,00;335,00;1000,00;500,00;2225,00;13627,00;;1000,00;;480,00;91,00;311,00;55,00;;278,00;1,00;380,00;3,00;31300,00;30598,00;1,02;;;;;;;;;;;;
fev-21;58,00;30016,00;30300,00;530,00;29872,00;962,00;7775,00;5055,00;402,00;;4227,00;2398,00;6625,00;588,00;622,00;;;3495,00;20925,00;;;;288,00;345,00;323,00;50,00;;322,00;;2408,00;2,00;37684,00;33287,00;1,13;;;;;;;;;;;;
mar-21;223,00;33398,00;30704,00;31856,00;33281,00;560,00;8739,00;7817,00;1562,00;;4473,00;2152,00;6625,00;373,00;368,00;1000,00;;3880,00;23245,00;;1000,00;;582,00;27,00;680,00;150,00;;319,00;1,00;1515,00;1,00;29865,00;26878,00;1,11;;;;;;;;;;;;
abr-21;525,00;32066,00;29084,00;28979,00;31928,00;16609,00;8383,00;26198,00;4536,00;1122,00;5958,00;918,00;6647,00;193,00;204,00;;500,00;620,00;46786,00;;;;169,00;12,00;209,00;25,00;;380,00;;216,00;;29807,00;32326,00;0,92;;;;;;;;;;;;
mai-21;307,00;31613,00;31011,00;30086,00;31448,00;31501,00;8851,00;24423,00;2908,00;1648,00;5390,00;1345,00;6601,00;465,00;339,00;0,00;;1300,00;44189,00;;;;233,00;43,00;259,00;75,00;0,00;366,00;1,00;676,00;4,00;36284,00;39263,00;0,92;;;;;;;;;;;;
jun-21;393,00;32234,00;29155,00;25117,00;32245,00;12588,00;7945,00;25203,00;3392,00;1872,00;;;;150,00;250,00;;0,00;840,00;36366,00;;;;166,00;102,00;173,00;100,00;12,00;301,00;1,00;918,00;3,00;30619,00;57123,00;1,04;;;;;;;;;;;;
